guia,origen,destino,estado,fecha_despacho,limite_entrega,costo_flete,despacho_dia,despacho_mes,despacho_ano,limite_dia,limite_mes,limite_ano,salud,recomendaciones,alertas,alertas_detalladas,categoria,estado_auditoria
GUIA-1001,BOGOTÁ,MEDELLÍN,entregado,2026-06-03,2026-06-07,1200,1,1,2026,1,1,2026,100,Ninguna. Archivar registro.,âœ… Entregado Correctamente,âœ… Entregado Correctamente,excelente,excelente
GUIA-1002,MEDELLÍN,CARTAGENA,en_bodega,2026-06-06,2026-06-10,1500,1,1,2026,1,1,2026,85,Llamar a bodega origen urgente.,âŒ Retraso CrÃ­tico en Despacho,âŒ Retraso CrÃ­tico en Despacho,atencion_requerida,atencion_requerida
GUIA-1003,CALI,BOGOTÁ,en_novedad,2026-06-05,2026-06-07,35000,1,1,2026,1,1,2026,0,"AuditorÃ­a interna inmediata requerida., Bloquear pago de factura preventivamente., Contactar al conductor/transportista., Preparar activaciÃ³n de pÃ³liza de seguro.","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš¨ Novedad con Riesgo de PÃ©rdida, ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ’° Riesgo Financiero Alto (>30k)","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš¨ Novedad con Riesgo de PÃ©rdida, ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ’° Riesgo Financiero Alto (>30k)",critico,critico
GUIA-1004,BARRANQUILLA,PEREIRA,en_novedad,2026-06-07,2026-06-11,5000,1,1,2026,1,1,2026,20,"AuditorÃ­a interna inmediata requerida., Contactar al conductor/transportista.","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš› VehÃ­culo Retrasado en Ruta","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš› VehÃ­culo Retrasado en Ruta",critico,critico
GUIA-1005,BUCARAMANGA,CÚCUTA,en_transito,2026-06-07,2026-06-10,2800,1,1,2026,1,1,2026,55,"Contactar al conductor/transportista., Renegociar tarifa con el proveedor.","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito",critico,critico
GUIA-1006,BOGOTÁ,CALI,en_transito,2026-06-08,2026-06-09,1800,1,1,2026,1,1,2026,80,Contactar al conductor/transportista.,ðŸš› VehÃ­culo Retrasado en Ruta,ðŸš› VehÃ­culo Retrasado en Ruta,atencion_requerida,atencion_requerida
GUIA-1030,BOGOTÁ,MEDELLÍN,entregado,2026-06-03,2026-06-07,1200,1,1,2026,1,1,2026,100,Ninguna. Archivar registro.,âœ… Entregado Correctamente,âœ… Entregado Correctamente,excelente,excelente
GUIA-1031,MEDELLÍN,CARTAGENA,en_bodega,2026-06-06,2026-06-10,1500,1,1,2026,1,1,2026,85,Llamar a bodega origen urgente.,âŒ Retraso CrÃ­tico en Despacho,âŒ Retraso CrÃ­tico en Despacho,atencion_requerida,atencion_requerida
GUIA-1032,CALI,BOGOTÁ,en_novedad,2026-06-05,2026-06-07,35000,1,1,2026,1,1,2026,0,"AuditorÃ­a interna inmediata requerida., Bloquear pago de factura preventivamente., Contactar al conductor/transportista., Preparar activaciÃ³n de pÃ³liza de seguro.","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš¨ Novedad con Riesgo de PÃ©rdida, ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ’° Riesgo Financiero Alto (>30k)","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš¨ Novedad con Riesgo de PÃ©rdida, ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ’° Riesgo Financiero Alto (>30k)",critico,critico
GUIA-1033,BARRANQUILLA,PEREIRA,en_novedad,2026-06-07,2026-06-11,5000,1,1,2026,1,1,2026,20,"AuditorÃ­a interna inmediata requerida., Contactar al conductor/transportista.","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš› VehÃ­culo Retrasado en Ruta","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš› VehÃ­culo Retrasado en Ruta",critico,critico
